"id","question_number","code","game_character"
"85","6","class Hero:
    def __init__(self, name, strength, intelligence):
        self.name = name
        self.strength = strength
        self.intelligence = intelligence

    def display_hero(self):
        print(f""Hero Name: {self.name}"")
        print(f""Strength: {self.strength}"")
        print(f""Intelligence: {self.intelligence}"")

# Example instantiation of a hero
example_hero = Hero(""Example Hero"", 5, 3)
example_hero.display_hero()

# Instantiating a hero with the name ""Marcus"", strength equal to 10, and intelligence equal to 1
marcus = Hero(""Marcus"", 10, 1)
marcus.display_hero()","47"
"86","7","class Hero:
    def __init__(self, name, skill, intelligence):
        self.name = name
        self.skill = skill
        self.intelligence = intelligence

    def display_hero(self):
        print(f""Hero Name: {self.name}"")
        print(f""Skill: {self.skill}"")
        print(f""Intelligence: {self.intelligence}"")

# Instantiating a hero
hero = Hero(""Wrong Name"", 5, 7)

# 1. Change the name of the hero to Andrew
hero.name = ""Andrew""

# 2. Increase his skill by 10
hero.skill += 10

# Assuming n is already declared somewhere in your code
n = 10  # For example

# 3. Modify the for loop to count from 1 to n (inclusive)
for i in range(1, n + 1):
    print(i)

# 4. Fix the if statement to check if skill is higher than intelligence
if hero.skill > hero.intelligence:
    print(f""{hero.name} has greater skill than intelligence."")
else:
    print(f""{hero.name}'s intelligence is greater than or equal to their skill."")

# Displaying the hero details
hero.display_hero()","47"
"87","8","def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)

# Calculate and print the factorial of 5
result = factorial(5)
print(""Factorial of 5:"", result)","47"
"88","9","import random

# Define a custom hero class
class Hero:
    def __init__(self, name, health, strength):
        self.name = name
        self.health = health
        self.strength = strength

    def display_hero(self):
        print(f""{self.name} (Health: {self.health}, Strength: {self.strength})"")

# Create a list of monsters
monsters = [
    {'name': 'Goblin', 'health': 30, 'strength': 5},
    {'name': 'Dragon', 'health': 100, 'strength': 20},
    {'name': 'Troll', 'health': 50, 'strength': 10}
]

# Create a hero instance
hero = Hero('Sir Lancelot', 100, 15)

# Function to battle a random monster
def battle_monster():
    monster = random.choice(monsters)
    print(f'You encounter a {monster['name']}!')
    print('Battle begins...')

    while hero.health > 0 and monster['health'] > 0:
        hero_attack = random.randint(1, hero.strength)
        monster_attack = random.randint(1, monster['strength'])

        print(f'{hero.name} attacks the {monster['name']} for {hero_attack} damage.')
        monster['health'] -= hero_attack

        if monster['health'] <= 0:
            print(f'{hero.name} defeats the {monster['name']}!')
            break

        print(f'{monster['name']} attacks {hero.name} for {monster_attack} damage.')
        hero.health -= monster_attack

        if hero.health <= 0:
            print(f'{hero.name} has been defeated by the {monster['name']}...')
            break

    hero.display_hero()

# Main game loop
while hero.health > 0:
    print('\nYou are on a quest. You can:')
    print('1. Battle a random monster')
    print('2. Quit')

    choice = input('Enter your choice: ')

    if choice == '1':
        battle_monster()
    elif choice == '2':
        print('You quit the game. Farewell!')
        break
    else:
        print('Invalid choice. Try again.')

print('Game over!')","47"
"89","1","#Declaration of variables
a = 5  # You can change the value of a to any number
b = 3  # You can change the value of b to any number

# Adding the variables
result = a + b

# Printing the result
print(result)","48"
"90","2","# Using a for loop to print numbers from 1 through 10
for number in range(1, 11):  # range(1, 11) generates numbers from 1 to 10
    print(number)","48"
"91","3","# Variable to represent the phase of the moon
# True means the moon is shining (full moon), False means the moon is dark (new moon)
light = True  # You can change this to False to see what happens

# Using if-else statements to choose the correct path
if light:
    print(""The moon is shining. Choose the path to the right."")
else:
    print(""It's dark. Choose the path to the left."")","48"
"92","4","def controlWaterFlow(rate):
    # Checking the flow rate and returning a message based on the condition
    if rate > 50:
        return ""The flow is too strong!""
    elif rate < 10:
        return ""The flow is too weak""
    else:
        return ""The flow is perfect!""

# Testing the function with different flow rates
print(controlWaterFlow(55))  # Output: The flow is too strong!
print(controlWaterFlow(5))   # Output: The flow is too weak
print(controlWaterFlow(25))  # Output: The flow is perfect!","48"
"93","5","def find_artifact(artifacts, target_artifact):
    # Searching for the target artifact in the array
    for index, artifact in enumerate(artifacts):
        if artifact == target_artifact:
            return f""Artifact {target_artifact} found at position {index}""
    return f""Artifact {target_artifact} not found in the array""

# Array of artifact numbers
artifacts = [101, 203, 304, 405, 506]  # You can modify this array as needed

# Testing the function with a target artifact number
print(find_artifact(artifacts, 304))  # Output: Artifact 304 found at position 2
print(find_artifact(artifacts, 999))  # Output: Artifact 999 not found in the array","48"
"94","6","class Hero:
    def __init__(self, name, strength, intelligence):
        self.name = name
        self.strength = strength
        self.intelligence = intelligence

    def display_hero(self):
        print(f""Hero Name: {self.name}"")
        print(f""Strength: {self.strength}"")
        print(f""Intelligence: {self.intelligence}"")

# Example instantiation of a hero
example_hero = Hero(""Example Hero"", 5, 3)
example_hero.display_hero()

# Instantiating a hero with the name ""Marcus"", strength equal to 10, and intelligence equal to 1
marcus = Hero(""Marcus"", 10, 1)
marcus.display_hero()","48"
"121","6","class Hero:
    def __init__(self, name, strength, intelligence):
        self.name = name
        self.strength = strength
        self.intelligence = intelligence

    def display_hero(self):
        print(f""Hero Name: {self.name}"")
        print(f""Strength: {self.strength}"")
        print(f""Intelligence: {self.intelligence}"")

# Example instantiation of a hero
example_hero = Hero(""Example Hero"", 5, 3)
example_hero.display_hero()

# Instantiating a hero with the name ""Marcus"", strength equal to 10, and intelligence equal to 1
marcus = Hero(""Marcus"", 10, 1)
marcus.display_hero()","52"
"342","2","# Using a for loop to print numbers from 1 through 10
for number in range(1, 11):  # range(1, 11) generates numbers from 1 to 10
    print(number)","77"
"95","7","class Hero:
    def __init__(self, name, skill, intelligence):
        self.name = name
        self.skill = skill
        self.intelligence = intelligence

    def display_hero(self):
        print(f""Hero Name: {self.name}"")
        print(f""Skill: {self.skill}"")
        print(f""Intelligence: {self.intelligence}"")

# Instantiating a hero
hero = Hero(""Wrong Name"", 5, 7)

# 1. Change the name of the hero to Andrew
hero.name = ""Andrew""

# 2. Increase his skill by 10
hero.skill += 10

# Assuming n is already declared somewhere in your code
n = 10  # For example

# 3. Modify the for loop to count from 1 to n (inclusive)
for i in range(1, n + 1):
    print(i)

# 4. Fix the if statement to check if skill is higher than intelligence
if hero.skill > hero.intelligence:
    print(f""{hero.name} has greater skill than intelligence."")
else:
    print(f""{hero.name}'s intelligence is greater than or equal to their skill."")

# Displaying the hero details
hero.display_hero()","48"
"96","8","def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)

# Calculate and print the factorial of 5
result = factorial(5)
print(""Factorial of 5:"", result)","48"
"97","9","import random

# Define a custom hero class
class Hero:
    def __init__(self, name, health, strength):
        self.name = name
        self.health = health
        self.strength = strength

    def display_hero(self):
        print(f""{self.name} (Health: {self.health}, Strength: {self.strength})"")

# Create a list of monsters
monsters = [
    {'name': 'Goblin', 'health': 30, 'strength': 5},
    {'name': 'Dragon', 'health': 100, 'strength': 20},
    {'name': 'Troll', 'health': 50, 'strength': 10}
]

# Create a hero instance
hero = Hero('Sir Lancelot', 100, 15)

# Function to battle a random monster
def battle_monster():
    monster = random.choice(monsters)
    print(f'You encounter a {monster['name']}!')
    print('Battle begins...')

    while hero.health > 0 and monster['health'] > 0:
        hero_attack = random.randint(1, hero.strength)
        monster_attack = random.randint(1, monster['strength'])

        print(f'{hero.name} attacks the {monster['name']} for {hero_attack} damage.')
        monster['health'] -= hero_attack

        if monster['health'] <= 0:
            print(f'{hero.name} defeats the {monster['name']}!')
            break

        print(f'{monster['name']} attacks {hero.name} for {monster_attack} damage.')
        hero.health -= monster_attack

        if hero.health <= 0:
            print(f'{hero.name} has been defeated by the {monster['name']}...')
            break

    hero.display_hero()

# Main game loop
while hero.health > 0:
    print('\nYou are on a quest. You can:')
    print('1. Battle a random monster')
    print('2. Quit')

    choice = input('Enter your choice: ')

    if choice == '1':
        battle_monster()
    elif choice == '2':
        print('You quit the game. Farewell!')
        break
    else:
        print('Invalid choice. Try again.')

print('Game over!')","48"
